id,country,c3,year,q1,q2,q3,q4,q5,region_un,region_un_sub,gini_index
174,Argentina,ARG,2010,4.67,9.54,15.02,22.84,47.93,Americas,South America,0.3993
244,Armenia,ARM,2010,5.0,11.0,16.0,23.0,45.0,Asia,Western Asia,0.368
471,Australia,AUS,2010,7.23,11.82,16.12,22.75,42.08,Oceania,Australia and New Zealand,0.3225
549,Austria,AUT,2010,8.07,13.17,17.41,22.83,38.52,Europe,Western Europe,0.2822
692,Bangladesh,BGD,2010,5.220000000000001,9.1,13.33,20.56,51.79,Asia,Southern Asia,0.4184
725,Barbados,BRB,2010,4.3,8.700000000000001,12.6,19.4,54.9,Americas,Caribbean,0.4486
783,Belarus,BLR,2010,8.81,13.43,17.5,22.78,37.47,Europe,Eastern Europe,0.2668
863,Belgium,BEL,2010,9.1,14.1,18.2,23.1,35.5,Europe,Western Europe,0.2472
1045,Botswana,BWA,2010,2.84,5.69,9.53,16.89,65.04,Africa,Southern Africa,0.5425
1375,Bulgaria,BGR,2010,6.9,12.6,17.3,23.0,40.3,Europe,Eastern Europe,0.3078
1411,Cambodia,KHM,2010,2.8000000000000003,7.0,11.4,18.3,60.5,Asia,South-eastern Asia,0.5068
1741,Canada,CAN,2010,7.11,12.4,16.79,22.75,40.95,Americas,Northern America,0.3121
2227,China,CHN,2010,6.98,12.89,17.63,23.26,39.24,Asia,Eastern Asia,0.2996
2427,Colombia,COL,2010,3.21,7.29,11.74,19.32,58.44,Americas,South America,0.49
2624,Costa Rica,CRI,2010,4.5,8.5,12.9,20.3,53.8,Americas,Central America,0.4416
2723,Croatia,HRV,2010,7.0,13.0,17.8,23.5,38.8,Europe,Southern Europe,0.2954
2761,Cyprus,CYP,2010,8.6,13.3,17.1,22.2,38.8,Asia,Western Asia,0.2772
2883,Czechia,CZE,2010,9.29,14.53,17.78,22.07,36.33,Europe,Eastern Europe,0.2465
3101,Denmark,DNK,2010,9.58,14.39,17.81,22.23,35.99,Europe,Northern Europe,0.2426
3210,Dominican Republic,DOM,2010,4.7,8.6,13.2,20.9,52.6,Americas,Caribbean,0.4324
3313,Ecuador,ECU,2010,4.2,8.4,13.0,20.5,53.9,Americas,South America,0.446
3476,El Salvador,SLV,2010,5.1000000000000005,9.7,14.4,21.5,49.4,Americas,Central America,0.4006
3596,Estonia,EST,2010,7.17,13.23,17.05,22.8,39.75,Europe,Northern Europe,0.2989
3634,Eswatini,SWZ,2010,4.0,7.54,11.83,19.89,56.73,Africa,Southern Africa,0.4713
3884,Finland,FIN,2010,9.18,13.78,17.41,22.57,37.05,Europe,Northern Europe,0.2582
4029,France,FRA,2010,7.47,12.92,17.09,22.53,39.99,Europe,Western Europe,0.2986
4132,Georgia,GEO,2010,4.26,8.96,14.48,22.02,50.28,Asia,Western Asia,0.4204
4408,Germany,DEU,2010,8.34,13.11,17.11,22.59,38.85,Europe,Western Europe,0.282
4548,Greece,GRC,2010,6.74,12.52,17.28,22.98,40.48,Europe,Southern Europe,0.3118
